trip_id,arrival_time,departure_time,stop_id,stop_sequence
50110111,06:21:12,06:21:32,0501GMS,15
50110111,06:23:35,06:23:55,0501IMR,16
50110111,06:27:04,06:27:24,0511BAN,17
50110111,06:28:01,06:28:21,0501TFS,18
50110111,06:30:35,06:30:55,0501APJ,19
50110111,06:33:19,06:33:39,0501NNL,20
50110111,06:34:13,06:34:33,0511RCN,21
50110111,06:35:08,06:35:28,0511UNG,22
50110111,06:36:50,06:37:10,0511KAP,23
50110111,06:37:26,06:37:46,0511COM,24
50110111,06:38:40,06:39:00,0511OST,25
50110111,06:40:05,06:40:25,0501MBT,26
50110111,06:41:26,06:41:46,0501NTN,27
50110111,06:42:18,06:42:38,0511TOL,28
50110111,06:42:58,06:43:18,0511HOS,29
50110111,06:44:06,06:44:26,0511LEM,30
50110111,06:45:26,06:45:46,0511SYK,31
50110111,06:47:00,06:47:20,0511ALP,32
50110111,06:49:37,06:49:57,0501SYJ,33
50110111,06:50:42,06:51:02,0511MLL,34
50110111,06:51:52,06:52:12,0501SYC,35
50110111,06:53:34,06:53:54,0511IAA,36
50110111,06:55:06,06:55:26,0501MJN,37
50110111,06:58:44,06:59:04,0501SBK,38
50110111,07:00:50,07:01:10,0501TLL,39
50110111,07:02:13,07:02:33,0511OMT,40
50110111,07:04:17,07:04:37,0501SHM,41
50110111,07:07:07,07:07:27,0511SHL,42
50110111,07:08:11,07:08:31,0501MLG,43
50110111,07:09:05,07:09:25,0501VNL,44
50110111,07:09:54,07:10:14,0501VLG,45
50110111,07:11:19,07:11:39,0511NAV,46
50110111,07:14:18,07:14:38,0511EPZ,47
50110111,07:15:03,07:15:23,0511TSH,48
50110111,07:15:52,07:16:12,0511ECC,49
50110111,07:16:41,07:17:01,0511YSA,50
50110111,07:17:59,07:18:19,0513KIT,51
50110120,06:00:00,06:00:20,0510ARA,1
50110120,06:01:01,06:01:21,0510RKC,2
50110120,06:01:47,06:02:07,0500SMI,3
50110120,06:02:41,06:03:01,0500STS,4
50110120,06:03:59,06:04:19,0500KMC,5
50110120,06:04:58,06:05:18,0510IAV,6
50110120,06:05:42,06:06:02,0510SKN,7
50110120,06:07:18,06:07:38,0510MTK,8
50110120,06:08:52,06:09:12,0500DVK,9
50110120,06:11:44,06:12:04,0500S39,10
50110120,06:12:49,06:13:09,0510ERE,11
50110120,06:14:04,06:14:24,0500NMJ,12
50110120,06:17:52,06:18:12,0500TOL,13
50110120,06:20:04,06:20:24,0500SBK,14
50110120,06:22:31,06:22:51,0500KNC,15
50110120,06:24:07,06:24:27,0500MJN,16
50110120,06:26:29,06:26:49,0500SLN,17
50110120,06:27:58,06:28:18,0510SYC,18
50110120,06:29:11,06:29:31,0500SYJ,19
50110120,06:30:58,06:31:18,0500OBT,20
50110120,06:33:16,06:33:36,0500SYK,21
50110120,06:35:57,06:36:17,0500NTN,22
50110120,06:37:08,06:37:28,0500MBT,23
50110120,06:39:05,06:39:25,0500KAP,24
50110120,06:41:00,06:41:20,0500SKR,25
50110120,06:42:35,06:42:55,0500RLN,26
50110120,06:44:17,06:44:37,0510OAL,27
50110120,06:45:21,06:45:41,0500APJ,28
50110120,06:48:14,06:48:34,0500STM,29
50110120,06:49:34,06:49:54,0510STY,30
50110120,06:50:28,06:50:48,0500AAL,31
50110120,06:53:28,06:53:48,0510AIM,32
50110120,06:55:32,06:55:52,0510GMS,33
50110120,06:57:11,06:57:31,0500SMR,34
50110120,06:58:41,06:59:01,0510MOB,35
50110120,06:59:30,06:59:50,0510RUN,36
50110120,07:00:34,07:00:54,0500PNR,37
50110120,07:02:45,07:03:05,0510ATL,38
50110120,07:04:17,07:04:37,0510AEM,39
50110120,07:05:27,07:05:47,0500SHL,40
50110120,07:06:48,07:07:08,0510BLV,41
50110120,07:07:34,07:07:54,0510UHO,42
50110120,07:08:47,07:09:07,0510TIL,43
50110120,07:11:53,07:12:13,0500NYY,44
50110120,07:14:02,07:14:22,0510KAB,45
50110120,07:15:49,07:16:09,0510AGP,46
50110120,07:17:44,07:18:04,0512EAS,47
50110121,06:00:00,06:00:20,0512EAS,1
50110121,06:03:55,06:04:15,0501NYY,2
50110121,06:05:10,06:05:30,0511IFC,3
50110121,06:07:31,06:07:51,0511CPC,4
50110121,06:09:07,06:09:27,0511BLV,5
50110121,06:12:03,06:12:23,0511PST,6
50110121,06:14:06,06:14:26,0511PNR,7
50110121,06:15:29,06:15:49,0501SDG,8
50110121,06:17:48,06:18:08,0511SMR,9
50110121,06:18:45,06:19:05,0501GMS,10
50110121,06:21:08,06:21:28,0501IMR,11
50110121,06:23:10,06:23:30,0513CAB,12
50110121,06:25:39,06:25:59,0501TFS,13
50110121,06:28:13,06:28:33,0501APJ,14
50110121,06:30:57,06:31:17,0501NNL,15
50110121,06:32:38,06:32:58,0511SRG,16
50110121,06:33:58,06:34:18,0511KAP,17
50110121,06:36:13,06:36:33,0501MBT,18
50110121,06:37:48,06:38:08,0511NTN,19
50110121,06:40:06,06:40:26,0511SYK,20
50110121,06:41:40,06:42:00,0511ALP,21
50110121,06:44:17,06:44:37,0501SYJ,22
50110121,06:45:22,06:45:42,0511MLL,23
50110121,06:46:32,06:46:52,0501SYC,24
50110121,06:48:07,06:48:27,0511IAK,25
50110121,06:49:46,06:50:06,0501MJN,26
50110121,06:51:32,06:51:52,0511CKC,27
50110121,06:53:54,06:54:14,0501SBK,28
50110121,06:56:00,06:56:20,0501TLL,29
50110121,06:56:44,06:57:04,0511TLL,30
50110121,07:00:01,07:00:21,0501NMJ,31
50110121,07:01:31,07:01:51,0511TEV,32
50110121,07:02:40,07:03:00,0501S39,33
50110121,07:05:37,07:05:57,0502DVK,34
50110121,07:06:54,07:07:14,0511KCT,35
50110121,07:08:39,07:08:59,0501SKN,36
50110121,07:09:56,07:10:16,0501KMC,37
50110121,07:11:12,07:11:32,0501STS,38
50110121,07:12:06,07:12:26,0501SLM,39
50110121,07:13:28,07:13:48,0513MDK,40
50110210,06:00:00,06:00:20,0513KIT,1
50110210,06:02:37,06:02:57,0510EPZ,2
50110210,06:06:30,06:06:50,0510VNL,3
50110210,06:08:36,06:08:56,0510MDA,4
50110210,06:09:57,06:10:17,0500SMI,5
50110210,06:10:38,06:10:58,0510SEA,6
50110210,06:11:22,06:11:42,0500STS,7
50110210,06:12:40,06:13:00,0500KMC,8
50110210,06:13:55,06:14:15,0501SKN,9
50110210,06:15:38,06:15:58,0510TCK,10
50110210,06:16:58,06:17:18,0502DVK,11
50110211,06:00:00,06:00:20,0502DVK,1
50110211,06:00:51,06:01:11,0511KTM,2
50110211,06:03:02,06:03:22,0501SKN,3
50110211,06:04:19,06:04:39,0501KMC,4
50110211,06:05:35,06:05:55,0501STS,5
50110211,06:06:29,06:06:49,0501SLM,6
50110211,06:07:47,06:08:07,0511MDK,7
50110211,06:09:55,06:10:15,0501VNL,8
50110211,06:10:44,06:11:04,0501VLG,9
50110211,06:14:39,06:14:59,0511EPZ,10
50110211,06:15:24,06:15:44,0511TSH,11
50110211,06:17:21,06:17:41,0513KIT,12
50125110,06:00:00,06:00:20,0510EAR,1
50125110,06:01:15,06:01:35,0510TKY,2
50125110,06:02:06,06:02:26,0510SLL,3
50125110,06:02:56,06:03:16,0500NTU,4
50125110,06:03:41,06:04:01,0510NST,5
50125110,06:04:24,06:04:44,0500BAR,6
50125110,06:05:18,06:05:38,0500MGT,7
50125110,06:06:03,06:06:23,0510KOB,8
50125110,06:06:52,06:07:12,0500RNG,9
50125110,06:07:33,06:07:53,0500LMA,10
50125110,06:09:03,06:09:23,0510MSL,11
50125110,06:11:21,06:11:41,0500MMU,12
50125110,06:14:01,06:14:21,0510BKM,13
50125110,06:15:10,06:15:30,0510SBR,14
50125110,06:16:12,06:16:32,0500BDS,15
50125110,06:17:13,06:17:33,0500CAM,16
50125110,06:18:34,06:18:54,0510CAO,17
50125110,06:19:16,06:19:36,0500SWR,18
50125110,06:20:24,06:20:44,0510PKP,19
50125110,06:21:41,06:22:01,0500CUE,20
50125110,06:23:24,06:23:44,0500CON,21
50125110,06:24:22,06:24:42,0510EGL,22
50125110,06:25:37,06:25:57,0500BMS,23
50125110,06:27:19,06:27:39,0500HST,24
50125110,06:29:09,06:29:29,0510NAE,25
50125110,06:30:11,06:30:31,0500ORP,26
50125110,06:31:14,06:31:34,0510BRC,27
50125110,06:32:55,06:33:15,0510LGT,28
50125110,06:35:19,06:35:39,0510HQS,29
50125110,06:36:12,06:36:32,0510KAS,30
50125110,06:37:20,06:37:40,0510CAN,31
50125110,06:38:11,06:38:31,0500DMS,32
50125110,06:39:54,06:40:14,0500CSH,33
50125110,06:40:47,06:41:07,0510AMR,34
50125110,06:41:43,06:42:03,0510LGP,35
50125110,06:42:37,06:42:57,0510WIL,36
50125110,06:44:17,06:44:37,0510TML,37
50125110,06:45:35,06:45:55,0510MFL,38
50125110,06:47:20,06:47:40,0510NYS,39
50125110,06:49:17,06:49:37,0510AIR,40
50125110,06:51:04,06:51:24,0510AGP,41
50125110,06:52:46,06:53:06,0001RLW,42
50125111,06:00:00,06:00:20,0001RLW,1
50125111,06:02:03,06:02:23,0501KBL,2
50125111,06:05:09,06:05:29,0511NYS,3
50125111,06:06:58,06:07:18,0511MAD,4
50125111,06:08:13,06:08:33,0501TML,5
50125111,06:10:04,06:10:24,0501WIL,6
50125111,06:12:46,06:13:06,0501UCH,7
50125111,06:14:20,06:14:40,0511RHR,8
50125111,06:17:09,06:17:29,0511ANA,9
50125111,06:19:02,06:19:22,0511BRK,10
50125111,06:20:36,06:20:56,0511OPR,11
50125111,06:22:17,06:22:37,0501WCK,12
50125111,06:24:42,06:25:02,0501BMS,13
50125111,06:25:41,06:26:01,0511CNL,14
50125111,06:26:29,06:26:49,0501NNP,15
50125111,06:27:53,06:28:13,0511CUE,16
50125111,06:29:09,06:29:29,0511TOP,17
50125111,06:30:14,06:30:34,0501MRG,18
50125111,06:31:03,06:31:23,0501VOD,19
50125111,06:32:21,06:32:41,0511DRE,20
50125111,06:33:21,06:33:41,0501BDS,21
50125111,06:34:27,06:34:47,0511IEB,22
50125111,06:35:42,06:36:02,0501MKR,23
50125111,06:38:12,06:38:32,0511MMU,24
50125111,06:40:36,06:40:56,0501HCC,25
50125111,06:41:23,06:41:43,0501NIB,26
50125111,06:42:29,06:42:49,0511MSL,27
50125111,06:43:11,06:43:31,0501RNG,28
50125111,06:43:58,06:44:18,0511KOB,29
50125111,06:44:38,06:44:58,0501STM,30
50125111,06:45:35,06:45:55,0501ONM,31
50125111,06:46:13,06:46:33,0511YRA,32
50125111,06:46:56,06:47:16,0511OFM,33
50125111,06:47:39,06:47:59,0501RNP,34
50125111,06:48:25,06:48:45,0501KNL,35
50125111,06:49:22,06:49:42,0511TUS,36
50125111,06:50:32,06:50:52,0513KWR,37
50126110,06:00:00,06:00:20,0500KSR,1
50126110,06:01:31,06:01:51,0500TRN,2
50126110,06:02:31,06:02:51,0500GCG,3
50126110,06:03:38,06:03:58,0500KJI,4
50126110,06:04:50,06:05:10,0500KHN,5
50126110,06:05:39,06:05:59,0500HSM,6
50126110,06:06:36,06:06:56,0500NYT,7
50126110,06:07:18,06:07:38,0500NLP,8
50126110,06:07:59,06:08:19,0500KRT,9
50126110,06:08:50,06:09:10,0500MSR,10
50126110,06:09:59,06:10:19,0500RMP,11
50126110,06:11:08,06:11:28,0500NGA,12
50126110,06:12:39,06:12:59,0500KMR,13
